Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Peugeot,Partner,20.36,5.86,82.25,1534.39,diesel,7911,7911,456,11878
Fiat,Uno,11.28,4.29,49.29,1337.71,petrol,6300,6300,573,11587
Mazda,2,21.6,6.0,64.62,1496.0,petrol,5537,5537,440,11586
Nissan,Bluebird,14.44,4.9,64.2,1891.7,petrol,8732,8732,369,11584
Suzuki,Baleno,17.59,4.08,73.08,1363.5,petrol,6771,6771,602,11354
Mitsubishi,Lancer,23.02,4.73,90.88,1709.54,petrol,8364,8364,399,11308
Seat,Cordoba,17.31,4.97,66.35,1655.74,petrol,6903,6903,525,10761
Smart,City-coupe,13.21,6.0,35.8,679.0,petrol,4717,4717,628,10523
Kia,Pride,9.36,4.33,47.0,1324.0,petrol,4963,4963,515,10521
Suzuki,Liana,18.88,4.67,74.0,1523.33,petrol,6499,6499,582,10308
Daihatsu,Terios,26.2,4.62,77.0,1495.0,petrol,4820,4820,469,10185
Volvo,V50,36.52,5.18,113.35,2106.5,petrol,6784,6784,571,9874
Honda,Concerto,16.67,4.5,74.0,1541.5,petrol,5942,5942,573,9618
Fiat,Doblo,25.17,5.52,79.31,1523.74,diesel,6887,6887,302,9577
Fiat,Ulysse,36.7,4.88,91.75,2019.75,petrol,6422,6422,508,9470
Mazda,Demio,14.78,4.8,51.4,1428.4,petrol,4220,4220,520,9317
Daihatsu,Sirion,14.33,4.56,59.88,1183.25,petrol,3834,3834,442,9056
Volvo,460,20.5,4.14,72.43,1824.43,petrol,6249,6249,439,8994
Skoda,Favorit,7.86,5.0,44.0,1289.0,petrol,5949,5949,376,8989
Toyota,Camry,30.01,3.2,115.47,2245.6,petrol,7070,7070,469,8982
Mazda,Premacy,23.22,4.91,82.0,1938.0,petrol,5588,5588,387,8882
Citroen,C1,13.49,5.0,52.38,1028.92,petrol,3451,3451,273,8841
Ford,Probe,24.84,5.0,102.0,2244.0,petrol,6602,6602,370,8762
Lotus,Elise,53.79,6.0,134.33,1730.0,petrol,7401,7401,359,8620
Hyundai,Trajet,30.35,4.4,99.0,2117.6,petrol,5587,5587,297,8566
Daewoo,Leganza,23.24,4.5,98.0,1998.0,petrol,6403,6403,417,8542
Hyundai,Tucson,41.59,6.46,111.31,1624.77,petrol,5568,5568,200,8358
Toyota,Picnic,25.3,4.5,94.0,1998.0,petrol,5248,5248,596,8272
Rover,CityRover,11.74,5.0,63.0,1405.0,petrol,3642,3642,590,8233
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,7074,7074,308,8216
Peugeot,806,29.57,5.0,84.0,1997.14,diesel,5609,5609,454,8192
Kia,Shuma,15.16,4.67,75.0,1594.0,petrol,5330,5330,348,7930
Audi,100,37.33,4.76,101.12,2349.08,petrol,6161,6161,346,7739
Fiat,Tipo,23.58,5.81,80.81,1446.12,diesel,4673,4673,391,7715
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,6736,6736,213,7663
Mazda,MX-3,22.13,5.0,83.0,1721.5,petrol,4128,4128,430,7649
Volkswagen,Touareg,94.1,8.0,190.0,2967.0,diesel,5484,5484,290,7632
Nissan,Note,19.32,5.0,66.43,1348.29,diesel,3775,3775,1222,7487
Seat,Altea,27.13,5.77,96.05,1774.78,diesel,4645,4645,283,7382
Land-Rover,Defender,108.75,7.85,207.61,2304.98,diesel,5738,5738,392,7374
Chevrolet,Matiz,9.49,4.91,40.82,850.27,petrol,2722,2722,299,7128
BMW,640i,114.88,8.0,235.0,2979.0,petrol,5615,5615,270,6766
Porsche,Cayenne,158.98,8.0,326.0,3295.0,petrol,4819,4819,316,6624
Audi,A8,116.54,8.0,230.0,2981.0,petrol,5836,5836,311,6583
Rover,Streetwise,20.74,5.0,75.0,1695.0,petrol,3407,3407,278,6577
Honda,S2000,55.25,6.0,177.0,1997.0,petrol,4732,4732,370,6548
Citroen,C8,45.59,5.25,104.17,2027.83,petrol,4139,4139,285,6512
Volkswagen,Vento,18.17,4.69,70.31,1932.15,petrol,4581,4581,311,6418
Skoda,Superb,39.72,6.8,110.0,1592.0,petrol,5491,5491,245,6411
Hyundai,Sonata,31.74,4.83,119.67,2116.0,petrol,4812,4812,244,6241
Volvo,S70,36.91,4.5,126.15,2344.0,petrol,5046,5046,300,6236
Daewoo,Espero,16.8,4.5,71.0,1764.0,petrol,4587,4587,255,6223
Volvo,960,40.76,4.33,133.33,2634.22,petrol,4872,4872,327,6210
Peugeot,807,45.76,5.31,109.08,2053.0,diesel,3892,3892,353,6034
Volkswagen,Jetta,31.31,6.26,96.93,1587.22,petrol,4496,4496,223,5962
Chevrolet,Kalos,14.22,4.73,64.45,1353.36,petrol,3011,3011,261,5876
Mazda,121,13.19,5.0,51.33,1431.33,petrol,2236,2236,294,5597
Toyota,Supra,81.3,8.0,250.0,2998.0,petrol,4787,4787,186,5593
Smart,Roadster-coupe,24.35,6.0,60.0,698.0,petrol,3209,3209,296,5558
Mazda,Xedos,28.96,4.4,100.8,1936.6,petrol,4216,4216,314,5549
Mercedes,B,41.39,7.29,105.71,1545.43,diesel,3162,3162,256,5548
Porsche,944,59.49,5.0,137.5,2734.5,petrol,4626,4626,218,5485
Honda,FR-V,33.13,5.29,103.0,1914.71,petrol,3150,3150,253,5306
Volkswagen,Corrado,35.34,5.0,118.0,1781.0,petrol,4437,4437,211,5280
Audi,Coupe,35.87,5.59,117.02,1980.63,petrol,4389,4389,193,5275
Hyundai,Elantra,19.06,4.6,89.2,1827.8,petrol,3904,3904,153,5248
Audi,Cabriolet,43.97,4.5,98.0,2309.0,petrol,3260,3260,294,5177
Nissan,350Z,55.42,6.0,221.0,3498.0,petrol,4165,4165,246,5111
Kia,Mentor,14.76,4.67,75.0,1594.0,petrol,3098,3098,231,5034
Renault,21,20.35,4.79,67.68,1996.68,petrol,3792,3792,251,5013
Ford,Capri,11.71,4.0,69.0,1864.8,petrol,4247,4247,111,4992
Peugeot,607,48.1,5.11,117.79,2315.0,petrol,4161,4161,199,4945
Nissan,Patrol,38.48,4.88,90.94,2953.59,diesel,3954,3954,181,4911
Volvo,XC70,58.47,6.44,148.52,2174.04,diesel,3546,3546,337,4876
Chevrolet,Lacetti,18.76,4.71,80.43,1612.93,petrol,3194,3194,181,4676
Subaru,Justy,11.74,5.0,51.0,998.0,petrol,2045,2045,344,4489
Alfa-Romeo,146,18.2,5.0,87.71,1696.43,petrol,3148,3148,242,4446
Audi,S3,60.87,6.75,228.0,1984.0,petrol,3443,3443,182,4297
Bentley,Continental,285.25,7.2,428.2,5577.8,petrol,3792,3792,142,4254
Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,petrol,2845,2845,246,4242
Mazda,5,22.13,5.5,75.09,1622.68,petrol,2357,2357,171,3984
Honda,Stream,27.94,5.0,103.5,1833.0,petrol,2410,2410,287,3971
Honda,Shuttle,30.08,4.0,110.0,2254.0,petrol,2567,2567,290,3895
Kia,Cerato,19.9,4.8,94.0,1742.6,petrol,2692,2692,110,3882
Smart,Fortwo,19.97,2.81,55.38,592.56,automatic,1691,1691,191,3776
Volkswagen,Scirocco,33.71,6.15,120.15,1750.62,petrol,2848,2848,171,3770
Renault,Safrane,31.79,4.57,104.14,2211.07,petrol,3007,3007,157,3766
Toyota,Hilux,46.6,6.0,110.0,2393.0,diesel,3012,3012,147,3711
Nissan,Maxima,34.1,4.57,121.86,2555.29,petrol,2925,2925,203,3646
Peugeot,1007,18.66,5.0,59.58,1407.33,petrol,1847,1847,145,3582
Audi,S4,95.3,6.33,253.67,3764.33,petrol,2942,2942,153,3535
Mercedes,Viano,57.23,5.23,120.43,2309.34,diesel,2459,2459,235,3440
Hyundai,Terracan,44.63,4.33,127.67,3100.33,diesel,2512,2512,69,3224
Citroen,XM,36.36,4.55,110.5,2345.1,petrol,2696,2696,164,3220
Alfa-Romeo,145,17.43,5.0,87.71,1696.43,petrol,2206,2206,164,3207
Chrysler,Crossfire,56.16,5.5,174.33,3199.0,petrol,2106,2106,136,3189
BMW,M550i,134.79,8.0,390.0,4395.0,petrol,2904,2904,118,3185
Kia,Magentis,28.8,4.8,111.2,2126.8,petrol,2533,2533,93,3114
Fiat,Idea,20.31,5.35,63.29,1344.82,diesel,1677,1677,113,3038
Mazda,MX-6,30.93,4.67,110.33,2328.33,petrol,2152,2152,151,3015
Nissan,Pathfinder,60.96,5.5,146.0,2588.6,diesel,1976,1976,423,3010
Honda,Legend,69.4,5.0,173.0,3358.67,petrol,2471,2471,150,2998
Ford,S-MAX,47.52,6.0,128.89,1886.56,diesel,1984,1984,94,2980
Nissan,Prairie,21.41,4.5,72.0,1974.0,petrol,1859,1859,140,2712
Alfa-Romeo,GT,37.35,5.38,121.06,1972.81,petrol,2033,2033,123,2662
Fiat,Tempra,17.92,4.19,64.48,1759.19,petrol,1965,1965,123,2633
Aston-Martin,DB7,158.82,4.5,250.0,3228.0,petrol,2132,2132,113,2433
Ssangyong,Musso,38.79,4.43,98.57,2755.57,diesel,1894,1894,93,2426
Volkswagen,Fox,12.5,5.0,48.67,1336.67,petrol,828,828,124,2332
Mazda,Tribute,38.02,4.5,129.5,2614.0,petrol,1505,1505,93,2313
Alfa-Romeo,166,43.89,5.67,130.56,2457.56,petrol,1934,1934,117,2303
Honda,Logo,13.38,2.5,48.0,1343.0,petrol,706,706,129,2226
Mitsubishi,Outlander,37.45,2.61,120.33,2085.06,petrol,1481,1481,95,2211
Honda,Integra,17.53,4.6,78.4,1549.8,petrol,1734,1734,74,2200
Chevrolet,Tacuma,20.2,4.78,82.33,1775.78,petrol,1372,1372,90,2195
Chrysler,300C,70.32,4.5,199.0,4123.5,petrol,1869,1869,45,2119
Suzuki,SJ,8.47,4.6,41.4,1182.4,petrol,1666,1666,72,2114
Mercedes,Vaneo,28.97,5.0,72.62,1707.12,petrol,1247,1247,139,2072
Toyota,Paseo,15.76,5.0,66.0,1497.0,petrol,1004,1004,120,2045
Volkswagen,Eos,42.29,6.0,113.8,1740.0,petrol,852,852,159,2020
Ssangyong,Rexton,54.27,5.67,114.0,1998.0,diesel,1481,1481,58,1997
Mitsubishi,Grandis,30.84,4.6,121.0,2378.0,petrol,1305,1305,103,1988
Aston-Martin,DB9,273.76,6.0,381.0,5935.0,petrol,1790,1790,56,1986
Mitsubishi,Pajero,45.78,4.81,106.3,2768.51,diesel,1475,1475,95,1933
Audi,Q7,106.55,8.0,210.0,2976.33,diesel,1436,1436,63,1872
Suzuki,SX4,20.67,4.75,88.0,1586.0,petrol,1147,1147,101,1862
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,1149,1149,99,1849
Porsche,Cayman,84.6,6.5,220.5,3071.0,petrol,1531,1531,75,1817
Audi,90,28.38,4.6,91.6,2181.2,petrol,1380,1380,53,1702
Alfa-Romeo,155,23.91,5.0,100.67,2016.78,petrol,1422,1422,62,1695
Dodge,Caliber,26.59,4.12,108.62,1911.75,petrol,1199,1199,31,1692
Daihatsu,Move,12.92,4.0,43.0,989.0,petrol,664,664,115,1618
Audi,RS4,121.77,6.67,316.33,3740.0,petrol,1450,1450,69,1616
Suzuki,Samurai,12.25,5.0,43.0,1325.0,petrol,1131,1131,53,1595
BMW,850i,111.99,5.0,220.0,4988.0,petrol,1369,1369,65,1585
Porsche,Carrera,646.6,6.0,450.0,5733.0,petrol,1389,1389,60,1577
Aston-Martin,Vantage,360.76,6.0,410.0,5341.0,petrol,1455,1455,33,1557
Honda,CRX,28.74,4.67,100.67,1590.0,petrol,973,973,79,1542
Porsche,928,110.1,5.0,235.0,4957.0,petrol,1343,1343,69,1494
Mazda,MPV,35.3,5.0,102.0,2129.0,petrol,876,876,75,1424
Fiat,Barchetta,28.3,5.0,96.0,1747.0,petrol,884,884,70,1324
Opel,Zafira,35.27,6.0,112.07,1574.43,petrol,759,759,116,1256
Daihatsu,Copen,23.81,5.0,64.0,1298.0,petrol,371,371,82,1254
Hyundai,Pony,10.32,4.14,54.36,1463.86,petrol,704,704,53,1219
TVR,Tuscan,107.7,5.0,274.0,3800.5,petrol,1092,1092,38,1219
Lotus,Esprit,93.42,5.0,233.0,2995.0,petrol,1144,1144,24,1206
Peugeot,605,35.26,4.73,104.64,2367.18,petrol,987,987,53,1203
Renault,25,22.35,4.22,80.93,1977.26,petrol,939,939,43,1165
Ferrari,360,200.2,6.0,294.0,3586.0,petrol,1056,1056,39,1151
Renault,Vel,51.64,5.38,126.5,2376.75,petrol,911,911,50,1115
Alfa-Romeo,164,38.4,4.75,131.0,2652.38,petrol,968,968,39,1112
Triumph,TR7,13.14,5.0,93.5,1998.0,petrol,956,956,45,1109
Mercedes,Viano,57.23,5.23,120.43,2309.34,diesel,777,777,66,1050
Ford,Fiesta,18.53,5.71,68.57,1166.14,petrol,544298,544298,49080,1195296
Ford,Mondeo,39.97,1.75,130.25,1998.5,petrol,594332,594332,26609,758010
Ford,Focus,30.62,5.97,94.03,1497.17,petrol,443988,443988,26904,697560
Volkswagen,Golf,31.24,6.16,89.46,1537.41,petrol,394540,394540,40848,687585
Renault,Clio,22.1,5.62,75.58,1219.65,petrol,266957,266957,30690,679860
Ford,Escort,16.21,4.46,63.56,1650.21,petrol,437946,437946,26080,663147
Nissan,Micra,20.38,4.87,67.96,1279.7,petrol,196565,196565,30430,553056
BMW,320i,47.85,6.44,126.11,1995.78,petrol,364900,364900,27418,519672
Peugeot,206,20.03,4.83,71.33,1631.5,petrol,181333,181333,24182,513081
Volkswagen,Polo,18.19,5.07,60.96,1408.06,petrol,186102,186102,30205,483183
Renault,Megane,26.45,5.41,87.31,1623.79,petrol,266914,266914,23486,480565
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,95303,95303,17942,373728
Honda,Civic,29.94,4.5,106.22,1480.58,petrol,221092,221092,20608,372615
Rover,2000,17.18,5.0,74.0,1994.0,petrol,214515,214515,15639,353897
Peugeot,306,18.64,4.84,67.0,1698.64,petrol,205295,205295,16104,345491
Peugeot,106,12.36,4.65,53.88,1366.29,petrol,121971,121971,13928,301115
Citroen,Xsara,22.36,4.88,72.58,1743.44,petrol,150576,150576,8743,237504
Toyota,Corolla,27.24,3.03,91.61,1677.95,petrol,136760,136760,14424,236216
Renault,Laguna,34.02,5.55,99.0,1920.03,diesel,176616,176616,9910,234751
Volkswagen,Passat,46.06,6.49,125.44,1835.85,petrol,165503,165503,11793,215880
Citroen,Saxo,12.33,4.82,53.82,1367.27,petrol,92260,92260,8546,214750
Peugeot,406,28.61,4.76,92.82,2043.82,petrol,165597,165597,9474,210168
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,144603,144603,13601,203654
Toyota,Yaris,20.72,3.52,74.4,1397.8,petrol,67240,67240,15482,196063
Nissan,Almera,22.78,4.92,81.67,1847.67,petrol,115766,115766,9307,189557
Nissan,Primera,26.51,4.02,93.59,1933.02,petrol,135634,135634,9517,181712
Audi,A4,57.93,6.16,149.71,2283.11,petrol,134273,134273,9327,180067
Peugeot,307,27.46,4.87,86.45,1723.0,petrol,97719,97719,6980,174668
BMW,535i,93.71,8.0,225.0,2979.0,petrol,134862,134862,8107,164244
Land-Rover,Discovery,107.45,8.0,182.57,2425.43,diesel,122403,122403,6460,161640
Honda,Accord,39.4,5.78,117.71,2151.65,petrol,107929,107929,8350,140582
Land-Rover,Freelander,43.86,5.29,105.17,2083.52,diesel,83796,83796,6447,138369
Toyota,Avensis,37.32,4.32,103.68,1873.26,petrol,97803,97803,7297,128315
Mercedes,E,78.07,7.67,192.4,2598.82,petrol,92854,92854,7504,116763
Peugeot,205,13.12,4.75,50.88,1430.75,petrol,54769,54769,4918,100654
Mini,Cooper,31.39,6.71,111.0,1711.57,petrol,40285,40285,6079,99667
Skoda,Fabia,19.01,5.21,66.97,1292.35,petrol,54550,54550,4774,99144
Toyota,Carina,17.45,4.69,68.27,1791.23,petrol,72645,72645,5871,98584
Toyota,RAV4,43.55,1.35,137.77,2261.19,petrol,42529,42529,6820,94971
Seat,Ibiza,19.94,5.65,76.32,1205.19,petrol,45482,45482,4390,93594
Mazda,323,17.34,4.75,70.92,1683.61,petrol,52579,52579,4757,91669
Ford,Galaxy,53.79,6.0,124.86,1855.0,diesel,59781,59781,4231,88932
Peugeot,405,20.43,4.79,69.88,1773.0,petrol,66461,66461,3360,86438
Citroen,Xantia,24.84,4.76,84.93,1982.76,petrol,66320,66320,3734,85814
Rover,75,39.35,5.0,98.05,1928.71,petrol,69739,69739,2910,83865
Audi,A3,36.22,6.47,94.33,1424.67,petrol,48888,48888,5330,83862
Citroen,ZX,16.06,4.92,67.0,1703.15,petrol,52128,52128,4325,83636
Mercedes,A,31.1,4.55,93.01,1699.12,petrol,33831,33831,6273,82072
Suzuki,Vitara,26.8,5.43,85.71,1310.0,petrol,43253,43253,5199,81052
Citroen,C3,22.9,5.41,75.65,1364.0,petrol,32594,32594,2920,76462
Hyundai,Accent,14.29,4.6,75.4,1479.0,petrol,41871,41871,3648,76253
Citroen,AX,10.83,5.0,45.0,1242.0,petrol,33183,33183,3650,72417
Mazda,MX-5,37.47,5.86,103.43,1718.57,petrol,31727,31727,4775,71476
Skoda,Octavia,30.65,6.35,95.0,1136.69,petrol,51686,51686,2957,66420
Rover,45,23.32,3.75,84.2,1853.9,petrol,49638,49638,2194,66402
Volvo,V70,50.96,6.18,135.29,1971.16,diesel,49871,49871,4292,66105
Ford,Sierra,18.3,4.88,70.25,1836.5,petrol,53944,53944,1777,66018
Skoda,Felicia,11.37,5.0,48.0,1518.0,petrol,38028,38028,3139,64746
Volvo,S40,35.28,5.18,113.35,2106.5,petrol,46218,46218,3649,64436
Fiat,Brava,17.22,4.89,70.0,1615.33,petrol,36030,36030,3483,63521
Saab,9-3X,49.29,6.0,145.0,1963.67,petrol,43526,43526,4046,63135
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,50463,50463,2281,62680
Audi,A6,82.06,7.73,199.73,2790.45,diesel,48642,48642,3334,60939
Volvo,V40,35.81,6.29,117.43,1921.47,petrol,39753,39753,3651,59892
Toyota,Celica,31.53,5.17,109.67,1861.83,petrol,36819,36819,2863,54786
Volkswagen,Beetle,33.25,6.17,112.75,1475.0,petrol,17481,17481,3564,54333
Jaguar,XE,65.57,8.0,167.25,1998.0,petrol,43499,43499,2123,54163
Jaguar,XJ,137.57,8.0,223.55,2813.0,petrol,46525,46525,2164,53375
Ford,Puma,30.38,6.31,94.06,935.62,petrol,17915,17915,2914,50468
Volvo,440,20.28,4.11,72.85,1832.89,petrol,33183,33183,2551,49503
Mini,One,24.1,6.25,68.75,1498.25,petrol,14674,14674,2877,48136
MG,ZR,21.02,5.0,92.33,1729.33,petrol,28360,28360,1540,48065
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,32899,32899,2529,47533
Mercedes,CLK,72.8,6.21,166.32,3041.0,petrol,30584,30584,2752,45949
Subaru,Impreza,30.6,1.8,97.6,1757.6,petrol,35531,35531,1868,45666
Mazda,626,20.72,4.72,81.38,1950.91,petrol,33088,33088,2129,44304
Volkswagen,Bora,25.4,4.65,78.85,1891.59,petrol,31510,31510,1982,43278
Seat,Leon,32.94,6.35,114.82,1615.37,petrol,29664,29664,2029,42979
Saab,900,37.01,4.59,114.68,2208.09,petrol,29883,29883,2740,42877
Jaguar,S-Type,66.59,5.74,172.32,2934.63,petrol,35536,35536,1773,42315
Audi,TT,64.59,6.78,178.56,2011.56,petrol,25065,25065,2821,42099
Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,12991,12991,2092,41900
Suzuki,Swift,19.09,3.73,68.91,1180.55,petrol,17927,17927,2858,39967
Daewoo,Lanos,13.25,4.83,66.67,1506.5,petrol,19953,19953,2254,39619
Audi,80,27.1,4.67,91.75,2247.33,petrol,30247,30247,1675,39237
Renault,19,16.29,4.8,57.87,1645.13,petrol,25091,25091,1761,37955
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,24161,24161,1825,37445
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,26844,26844,1803,37416
Alfa-Romeo,156,32.9,5.33,116.29,2081.38,petrol,28591,28591,1723,37311
Volvo,850,36.38,4.5,125.71,2294.76,petrol,28562,28562,1897,37081
Citroen,C5,34.91,5.6,104.23,1805.92,diesel,30090,30090,1251,36747
Volvo,940,30.24,4.5,110.0,2316.0,petrol,27674,27674,1836,36436
Saab,09-May,52.96,5.65,146.12,2031.47,petrol,28630,28630,2073,35942
Mercedes,190,36.64,4.47,88.73,2284.13,petrol,27384,27384,1869,35874
Renault,Scenic,32.06,5.96,89.35,1472.83,diesel,22125,22125,1367,35857
Hyundai,Getz,13.64,4.71,69.0,1424.86,petrol,16759,16759,1022,34723
Fiat,Cinquecento,7.71,5.0,29.0,899.0,petrol,12949,12949,1882,34417
Fiat,Bravo,22.46,6.0,92.31,1466.31,petrol,18719,18719,1747,34192
Ford,Fusion,19.38,4.86,61.27,1470.91,petrol,19383,19383,909,33934
Citroen,Berlingo,27.44,6.34,85.28,1452.0,diesel,22453,22453,1204,33333
Fiat,Stilo,22.78,5.27,92.36,1837.36,petrol,21060,21060,1111,33064
Suzuki,Wagon,9.86,5.0,50.0,1090.4,petrol,16287,16287,2481,32399
Volkswagen,Sharan,45.7,6.0,114.0,1854.2,diesel,21454,21454,2122,32252
Mercedes,ML,77.42,7.0,188.33,2876.0,diesel,21077,21077,1752,31703
Mercedes,SLK,61.86,6.83,184.17,2748.33,petrol,14181,14181,2437,31349
BMW,X5,113.27,8.0,246.33,2994.67,diesel,23115,23115,1313,31278
Mazda,6,42.67,5.91,118.19,2095.19,petrol,23772,23772,1071,30367
Nissan,X-Trail,47.36,3.75,113.38,1774.81,diesel,20968,20968,1476,29353
Citroen,C2,15.14,5.0,64.0,1382.75,petrol,13128,13128,838,29251
Rover,Mini,7.92,4.0,33.33,868.33,petrol,13474,13474,1327,29140
Toyota,Starlet,11.39,4.14,53.0,1308.29,petrol,10392,10392,1599,28673
Suzuki,Alto,9.56,4.6,50.0,996.0,petrol,11475,11475,2853,28248
Ford,Orion,15.4,5.0,60.11,1593.11,petrol,20538,20538,943,28029
Toyota,Previa,43.08,4.67,105.0,2239.67,petrol,18342,18342,1985,27922
Ford,Granada,18.85,4.08,87.08,2326.36,petrol,23365,23365,751,27682
Volkswagen,Lupo,13.88,4.75,47.75,1373.75,petrol,8087,8087,1620,27180
Saab,9000,41.62,4.6,125.36,2336.52,petrol,21126,21126,1454,27013
Mitsubishi,Colt,17.04,5.3,73.49,1374.05,petrol,12702,12702,1391,26950
BMW,740i,115.53,8.0,250.0,2998.0,petrol,22616,22616,1285,26365
Chrysler,Voyager,39.71,4.84,117.58,2719.84,diesel,16712,16712,1213,25691
Porsche,911,158.79,7.47,293.53,3005.4,petrol,21932,21932,1126,25331
Peugeot,309,14.35,4.88,59.5,1642.88,petrol,17022,17022,1002,25082
Nissan,Terrano,37.02,4.74,97.58,2697.37,diesel,17099,17099,979,24410
Suzuki,Jimny,25.94,4.78,67.0,1372.67,petrol,9454,9454,2073,23511
Fiat,Marea,20.12,4.88,79.88,1836.88,petrol,16277,16277,1042,22974
MG,TF,32.09,4.0,98.2,1754.4,petrol,10159,10159,1239,22930
Mercedes,300,62.4,4.38,135.5,2972.31,petrol,17835,17835,1194,22858
Volvo,S60,52.08,8.0,223.83,1969.0,petrol,18271,18271,1213,22548
Fiat,Panda,10.42,5.0,52.44,1095.78,petrol,10116,10116,935,22448
Hyundai,Lantra,16.45,4.67,78.0,1741.0,petrol,14738,14738,1036,22410
Kia,Rio,22.96,6.29,80.0,998.0,petrol,13677,13677,716,22166
Porsche,Boxster,83.5,6.5,213.5,3071.0,petrol,16330,16330,1358,22033
Subaru,Legacy,37.52,3.9,107.38,2084.38,petrol,15352,15352,1387,21689
Alfa-Romeo,147,25.34,5.19,95.1,1802.77,petrol,12401,12401,1069,20712
BMW,Z3,39.74,4.6,115.0,2234.4,petrol,10687,10687,1314,20176
Fiat,Uno,11.28,4.29,49.29,1337.71,petrol,10542,10542,987,19871
Seat,Alhambra,49.82,6.0,115.83,1746.94,petrol,13033,13033,1335,19698
Daewoo,Nexia,12.48,4.67,58.67,1498.0,petrol,11334,11334,1079,19590
Suzuki,Ignis,19.45,3.57,61.0,1197.0,petrol,9274,9274,1699,19466
Ford,Scorpio,30.86,4.45,105.55,2458.91,petrol,16143,16143,702,19437
Mercedes,Sprinter,43.07,6.25,104.2,2222.71,diesel,15856,15856,1305,18921
Nissan,Bluebird,14.44,4.9,64.2,1891.7,petrol,13924,13924,598,18432
Mazda,3,31.0,5.79,101.89,1905.63,petrol,10954,10954,593,18075
Seat,Arosa,13.7,4.82,47.45,1384.0,petrol,5986,5986,807,17174
Seat,Toledo,20.37,5.64,74.21,1324.36,petrol,12935,12935,678,17044
Volvo,S80,50.94,6.27,138.28,1986.77,diesel,14203,14203,922,16989
Honda,Prelude,27.79,4.67,110.67,2050.33,petrol,11731,11731,824,16519
BMW,M3,135.11,6.5,309.0,3999.0,petrol,14267,14267,609,16470
BMW,118i,37.43,6.2,104.2,1796.6,petrol,8817,8817,910,16461
Audi,A2,23.05,5.0,55.0,1406.0,petrol,7463,7463,1063,16431
Chrysler,PT,29.88,4.74,109.11,2238.63,petrol,9785,9785,766,16371
Kia,Picanto,16.59,5.0,52.85,998.0,petrol,5983,5983,551,16258
Ford,Maverick,29.15,5.0,89.0,2526.5,petrol,11431,11431,633,16209
Jaguar,XK,145.65,6.0,283.0,5000.0,petrol,13095,13095,761,16021
Chrysler,Neon,19.72,4.0,98.0,1995.0,petrol,10242,10242,793,15900
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,9922,9922,602,15690
MG,ZT,42.75,5.0,128.5,2548.83,petrol,13085,13085,449,15479
Honda,HR-V,32.72,3.6,96.0,1498.0,petrol,8100,8100,819,15433
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,9649,9649,953,15186
Volkswagen,Touran,32.99,6.23,94.04,1528.81,diesel,8831,8831,918,14873
Mitsubishi,Galant,25.08,4.53,93.6,2127.33,petrol,11665,11665,592,14732
Hyundai,Santa,44.14,6.55,144.64,2242.64,diesel,9948,9948,418,14445
Nissan,Serena,22.95,5.0,67.33,1908.17,petrol,9290,9290,774,13841
Fiat,Multipla,25.21,5.0,80.5,1753.0,petrol,8096,8096,788,13757
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,8385,8385,499,13751
Skoda,Favorit,7.86,5.0,44.0,1289.0,petrol,8874,8874,542,13519
Mercedes,SLS,264.68,7.0,420.0,6208.0,petrol,10040,10040,714,13470
Ford,Streetka,26.0,5.0,70.0,1597.0,petrol,2338,2338,492,13441
Renault,Kangoo,18.77,4.86,67.02,1391.02,diesel,7873,7873,706,13269
Kia,Pride,9.36,4.33,47.0,1324.0,petrol,6099,6099,653,13206
Fiat,Tipo,23.58,5.81,80.81,1446.12,diesel,7765,7765,641,12949
Volvo,XC90,85.83,8.0,213.15,1969.0,petrol,8412,8412,877,12925
Volvo,460,20.5,4.14,72.43,1824.43,petrol,8964,8964,577,12730
Honda,Concerto,16.67,4.5,74.0,1541.5,petrol,7875,7875,738,12718
Suzuki,Baleno,17.59,4.08,73.08,1363.5,petrol,7471,7471,650,12426
Ford,Cougar,32.12,4.67,115.33,2362.0,petrol,9084,9084,474,12294
Seat,Cordoba,17.31,4.97,66.35,1655.74,petrol,7555,7555,553,11737
Hyundai,Matrix,18.51,4.6,76.0,1599.0,petrol,7215,7215,267,11335
Citroen,C4,29.26,5.95,90.62,1462.36,petrol,7713,7713,280,11091
Ford,Probe,24.84,5.0,102.0,2244.0,petrol,8082,8082,456,10718
Peugeot,407,38.73,5.54,114.65,2178.19,diesel,8649,8649,375,10714
