Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,18774,18774,1259,26389
Volvo,XC90,85.83,8.0,213.15,1969.0,petrol,16685,16685,1773,26327
Volkswagen,Lupo,13.88,4.75,47.75,1373.75,petrol,8314,8314,1546,26034
Daewoo,Lanos,13.25,4.83,66.67,1506.5,petrol,12942,12942,1526,25495
Volvo,V50,36.52,5.18,113.35,2106.5,petrol,17272,17272,1503,25335
Alfa-Romeo,147,25.34,5.19,95.1,1802.77,petrol,14993,14993,1328,24820
Renault,Modus,17.82,4.67,70.33,1298.67,petrol,11702,11702,1251,24791
BMW,X3,76.59,8.0,184.0,2396.4,petrol,13693,13693,1307,24740
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,14939,14939,823,23926
Mercedes,Sprinter,43.07,6.25,104.2,2222.71,diesel,19985,19985,1582,23818
Hyundai,Santa,44.14,6.55,144.64,2242.64,diesel,16079,16079,808,23796
Toyota,Previa,43.08,4.67,105.0,2239.67,petrol,15840,15840,1674,23741
Chevrolet,Matiz,9.49,4.91,40.82,850.27,petrol,8540,8540,1160,23313
Seat,Alhambra,49.82,6.0,115.83,1746.94,petrol,15723,15723,1275,23273
Suzuki,Ignis,19.45,3.57,61.0,1197.0,petrol,10500,10500,1716,23169
MG,TF,32.09,4.0,98.2,1754.4,petrol,10948,10948,1292,22971
Saab,900,37.01,4.59,114.68,2208.09,petrol,15968,15968,1432,22872
Jaguar,XK,145.65,6.0,283.0,5000.0,petrol,18681,18681,1018,22772
Volvo,850,36.38,4.5,125.71,2294.76,petrol,17664,17664,1118,22710
BMW,Z4,64.11,6.75,202.12,2778.0,petrol,14317,14317,1416,22639
Kia,Sorento,36.01,6.0,151.67,2048.67,petrol,16395,16395,590,22627
Toyota,Starlet,11.39,4.14,53.0,1308.29,petrol,8824,8824,1219,22135
